ts,source,sentiment,title,btc_px,eth_px,sol_px
2026-06-14T14:02,cointelegraph,bearish,Humanity Protocol’s $36M hack tied to suspected North Korean hackers: Quantstamp,64281.50,1665.5500,67.6715
2026-06-14T14:02,cointelegraph,neutral,Bitcoin nears $65K as Trump says Hormuz will 'open to all' in Sunday Iran peace deal,64281.50,1665.5500,67.6715
2026-06-14T14:02,cointelegraph,neutral,"Trump says Iran peace deal to be signed Sunday, contradicting Tehran",64281.50,1665.5500,67.6715
2026-06-14T14:02,cointelegraph,bearish,Amazon warning triggered US crackdown on Anthropic AI models: Reports,64281.50,1665.5500,67.6715
2026-06-14T14:02,cointelegraph,neutral,Anthropic's Mythos AI finds no more 'serious' bugs in Zcash: Wilcox,64281.50,1665.5500,67.6715
2026-06-14T14:02,cointelegraph,neutral,"Bitcoin sales are necessary for Strategy's digital credit business, Saylor says",64281.50,1665.5500,67.6715
2026-06-14T14:02,cointelegraph,neutral,Morpho's $175M raise shows where crypto VC money is flowing,64281.50,1665.5500,67.6715
2026-06-14T14:02,cointelegraph,bearish,"ETH futures flash bearish signal, but stakers’ resilience points to underlying strength",64281.50,1665.5500,67.6715
2026-06-14T14:02,cointelegraph,neutral,"Anthropic suspends access to Fable 5, Mythos 5, citing US directive",64281.50,1665.5500,67.6715
2026-06-14T14:02,cointelegraph,neutral,"Major crypto exchanges cancel SpaceX IPO allocations, promising refunds",64281.50,1665.5500,67.6715
2026-06-14T14:02,cointelegraph,neutral,Bitcoin’s ‘calm top’ challenges most market bottom estimates: Research,64281.50,1665.5500,67.6715
